Latitude,Longitude,Hour_in_the_year,Year,Slope_elevation_angle,Slope_azimuth_angle,cos_i
-8.0157,-9.4402,1114,2011,42.593,79.759,0.3571
-8.0157,-9.4402,2662,2011,42.593,79.759,-0.41587
-8.0157,-9.4402,1521,2011,42.593,79.759,0.10136
-8.0157,-9.4402,3432,2011,42.593,79.759,-0.80967
-8.0157,-9.4402,7566,2011,42.593,79.759,-0.44528
-8.0157,-9.4402,6143,2011,42.593,79.759,-0.62007
-8.0157,-9.4402,2448,2011,46.748,173.15,-0.67918
-8.0157,-9.4402,1230,2011,46.748,173.15,-0.16911
-8.0157,-9.4402,3256,2011,46.748,173.15,0.57303
-8.0157,-9.4402,8709,2011,46.748,173.15,-0.74228
-8.0157,-9.4402,2929,2011,46.748,173.15,-0.56378
-8.0157,-9.4402,7429,2011,46.748,173.15,0.54499
-8.0157,-9.4402,6499,2011,46.748,173.15,-0.2461
-8.0157,-9.4402,700,2011,46.748,173.15,-0.6079
-8.0157,-9.4402,6940,2011,46.748,173.15,-0.4519
-8.0157,-9.4402,6396,2011,46.748,173.15,0.77907
-8.0157,-9.4402,10,2011,7.6904,144.06,0.81053
-8.0157,-9.4402,6093,2011,7.6904,144.06,-0.73011
-8.0157,-9.4402,3760,2011,7.6904,144.06,0.4305
-8.0157,-9.4402,4449,2011,7.6904,144.06,0.63888
-8.0157,-9.4402,7263,2011,7.6904,144.06,0.62979
-8.0157,-9.4402,4568,2011,7.6904,144.06,0.44735
-8.0157,-9.4402,4783,2011,7.6904,144.06,0.22349
-8.0157,-9.4402,7895,2011,7.6904,144.06,-0.90698
-8.0157,-9.4402,5178,2011,7.6904,144.06,-0.0012546
-8.0157,-9.4402,7096,2011,7.6904,144.06,0.42121
-8.0157,-9.4402,2117,2011,11.269,42.836,-0.32267
-8.0157,-9.4402,5775,2011,11.269,42.836,0.65537
-8.0157,-9.4402,5560,2011,11.269,42.836,0.45492
-8.0157,-9.4402,269,2011,11.269,42.836,-0.1937
-8.0157,-9.4402,4996,2011,11.269,42.836,-0.59891
-8.0157,-9.4402,5406,2011,11.269,42.836,-0.12334
-8.0157,-9.4402,8308,2011,11.269,42.836,-0.34368
-8.0157,-9.4402,3551,2011,11.269,42.836,-0.95789
-8.0157,-9.4402,8456,2011,11.269,42.836,0.53013
-8.0157,-9.4402,4286,2011,11.269,42.836,0.67756
-8.0157,-9.4402,1888,2011,66.501,168.5,0.39307
-8.0157,-9.4402,5876,2011,66.501,168.5,-0.03991
-8.0157,-9.4402,4112,2011,66.501,168.5,0.46943
-8.0157,-9.4402,6714,2011,66.501,168.5,0.021262
-8.0157,-9.4402,8125,2011,66.501,168.5,0.19148
-8.0157,-9.4402,1042,2011,66.501,168.5,0.17018
-8.0157,-9.4402,799,2011,66.501,168.5,-0.25847
-8.0157,-9.4402,2562,2011,66.501,168.5,0.28118
-8.0157,-9.4402,3881,2011,66.501,168.5,0.57179
-8.0157,-9.4402,2009,2011,66.501,168.5,0.30593
-8.0157,-9.4402,7770,2011,72.821,-133.47,-0.90773
-8.0157,-9.4402,3013,2011,72.821,-133.47,0.27396
-8.0157,-9.4402,1726,2011,72.821,-133.47,-0.68417
-8.0157,-9.4402,427,2011,72.821,-133.47,-0.94216
-8.0157,-9.4402,1114,2011,72.821,-133.47,0.51828
-8.0157,-9.4402,2662,2011,72.821,-133.47,-0.49331
-8.0157,-9.4402,1521,2011,72.821,-133.47,0.68164
-8.0157,-9.4402,3432,2011,72.821,-133.47,-0.070015
-8.0157,-9.4402,7566,2011,72.821,-133.47,0.5281
-8.0157,-9.4402,6143,2011,72.821,-133.47,-0.44176
-8.0157,-9.4402,2448,2011,30.663,-120.82,-0.81186
-8.0157,-9.4402,1230,2011,30.663,-120.82,0.43991
-8.0157,-9.4402,3256,2011,30.663,-120.82,0.0018317
-8.0157,-9.4402,8709,2011,30.663,-120.82,-0.93897
-8.0157,-9.4402,2929,2011,30.663,-120.82,-0.60663
-8.0157,-9.4402,7429,2011,30.663,-120.82,0.56228
-8.0157,-9.4402,6499,2011,30.663,-120.82,-0.75374
-8.0157,-9.4402,700,2011,30.663,-120.82,-0.066798
-8.0157,-9.4402,6940,2011,30.663,-120.82,0.07069
-8.0157,-9.4402,6396,2011,30.663,-120.82,0.822
65.014,-94.067,10,2011,4.2587,-6.4841,0.031828
65.014,-94.067,6093,2011,4.2587,-6.4841,-0.26461
65.014,-94.067,3760,2011,4.2587,-6.4841,0.58064
65.014,-94.067,4449,2011,4.2587,-6.4841,0.63208
65.014,-94.067,7263,2011,4.2587,-6.4841,0.12283
65.014,-94.067,4568,2011,4.2587,-6.4841,0.52562
65.014,-94.067,4783,2011,4.2587,-6.4841,0.39305
